time,action,count,
2017-9-28 3:9:6, Cancel, 31,
2017-9-28 3:9:56, Cancel, 36,
2017-9-28 3:9:51, Cancel, 43,
2017-9-28 3:9:46, Cancel, 25,
2017-9-28 3:9:41, Cancel, 47,
2017-9-28 3:9:36, Cancel, 29,
2017-9-28 3:9:31, Cancel, 29,
2017-9-28 3:9:26, Cancel, 28,
2017-9-28 3:9:21, Cancel, 29,
2017-9-28 3:9:16, Cancel, 17,
2017-9-28 3:9:11, Cancel, 32,
2017-9-28 3:9:1, Cancel, 27,
2017-9-28 3:8:6, Cancel, 25,
2017-9-28 3:8:56, Cancel, 34,
2017-9-28 3:8:51, Cancel, 25,
2017-9-28 3:8:46, Cancel, 29,
2017-9-28 3:8:41, Cancel, 34,
2017-9-28 3:8:36, Cancel, 29,
2017-9-28 3:8:31, Cancel, 24,
2017-9-28 3:8:26, Cancel, 38,
2017-9-28 3:8:21, Cancel, 29,
2017-9-28 3:8:16, Cancel, 21,
2017-9-28 3:8:11, Cancel, 47,
2017-9-28 3:8:1, Cancel, 30,
2017-9-28 3:7:6, Cancel, 30,
2017-9-28 3:7:56, Cancel, 44,
2017-9-28 3:7:51, Cancel, 40,
2017-9-28 3:7:46, Cancel, 29,
2017-9-28 3:7:41, Cancel, 30,
2017-9-28 3:7:36, Cancel, 39,
2017-9-28 3:7:31, Cancel, 31,
2017-9-28 3:7:26, Cancel, 34,
2017-9-28 3:7:21, Cancel, 25,
2017-9-28 3:7:16, Cancel, 29,
2017-9-28 3:7:11, Cancel, 31,
2017-9-28 3:7:1, Cancel, 20,
2017-9-28 3:6:6, Cancel, 26,
2017-9-28 3:6:56, Cancel, 26,
2017-9-28 3:6:51, Cancel, 27,
2017-9-28 3:6:46, Cancel, 32,
2017-9-28 3:6:41, Cancel, 34,
2017-9-28 3:6:36, Cancel, 35,
2017-9-28 3:6:31, Cancel, 32,
2017-9-28 3:6:26, Cancel, 47,
2017-9-28 3:6:21, Cancel, 36,
2017-9-28 3:6:16, Cancel, 22,
2017-9-28 3:6:11, Cancel, 32,
2017-9-28 3:6:1, Cancel, 28,
2017-9-28 3:5:6, Cancel, 40,
2017-9-28 3:5:56, Cancel, 33,
2017-9-28 3:5:51, Cancel, 35,
2017-9-28 3:5:46, Cancel, 25,
2017-9-28 3:5:41, Cancel, 25,
2017-9-28 3:5:36, Cancel, 40,
2017-9-28 3:5:31, Cancel, 25,
2017-9-28 3:5:26, Cancel, 25,
2017-9-28 3:5:21, Cancel, 34,
2017-9-28 3:5:16, Cancel, 45,
2017-9-28 3:5:11, Cancel, 28,
2017-9-28 3:5:1, Cancel, 36,
2017-9-28 3:4:6, Cancel, 25,
2017-9-28 3:4:56, Cancel, 37,
2017-9-28 3:4:51, Cancel, 33,
2017-9-28 3:4:46, Cancel, 34,
2017-9-28 3:4:41, Cancel, 28,
2017-9-28 3:4:36, Cancel, 25,
2017-9-28 3:4:31, Cancel, 27,
2017-9-28 3:4:26, Cancel, 28,
2017-9-28 3:4:21, Cancel, 26,
2017-9-28 3:4:16, Cancel, 40,
2017-9-28 3:4:11, Cancel, 28,
2017-9-28 3:4:1, Cancel, 25,
2017-9-28 3:3:6, Cancel, 31,
2017-9-28 3:3:56, Cancel, 38,
2017-9-28 3:3:51, Cancel, 38,
2017-9-28 3:3:46, Cancel, 31,
2017-9-28 3:3:41, Cancel, 22,
2017-9-28 3:3:36, Cancel, 38,
2017-9-28 3:3:31, Cancel, 42,
2017-9-28 3:3:26, Cancel, 23,
2017-9-28 3:3:21, Cancel, 47,
2017-9-28 3:3:16, Cancel, 29,
2017-9-28 3:3:11, Cancel, 26,
2017-9-28 3:3:1, Cancel, 29,
2017-9-28 3:2:6, Cancel, 37,
2017-9-28 3:2:56, Cancel, 18,
2017-9-28 3:2:51, Cancel, 32,
2017-9-28 3:2:46, Cancel, 30,
2017-9-28 3:2:41, Cancel, 30,
2017-9-28 3:2:36, Cancel, 31,
2017-9-28 3:2:31, Cancel, 30,
2017-9-28 3:2:26, Cancel, 28,
2017-9-28 3:2:21, Cancel, 32,
2017-9-28 3:2:16, Cancel, 27,
2017-9-28 3:2:11, Cancel, 28,
2017-9-28 3:2:1, Cancel, 30,
2017-9-28 3:1:6, Cancel, 31,
2017-9-28 3:1:56, Cancel, 18,
2017-9-28 3:1:51, Cancel, 46,
2017-9-28 3:1:46, Cancel, 33,
2017-9-28 3:1:41, Cancel, 27,
