action,time,count, 
Cancel, 2017-09-30 16:02:11.354221, 31,
Cancel, 2017-09-30 16:02:06.385304, 36,
Cancel, 2017-09-30 16:02:01.418408, 29,
Cancel, 2017-09-30 16:01:56.183794, 25,
Cancel, 2017-09-30 16:01:51.350066, 47,
Cancel, 2017-09-30 16:01:46.344266, 21,
Cancel, 2017-09-30 16:01:41.311826, 29,
Cancel, 2017-09-30 16:01:36.290122, 30,
Cancel, 2017-09-30 16:01:31.278534, 27,
Cancel, 2017-09-30 16:01:26.250135, 22,
Cancel, 2017-09-30 16:01:21.265619, 36,
Cancel, 2017-09-30 16:01:16.322804, 33,
Cancel, 2017-09-30 16:01:11.328116, 21,
Cancel, 2017-09-30 16:01:06.330202, 27,
Cancel, 2017-09-30 16:01:01.294217, 34,
Cancel, 2017-09-30 16:00:56.327941, 27,
Cancel, 2017-09-30 16:00:51.394520, 24,
Cancel, 2017-09-30 16:00:46.253691, 41,
Cancel, 2017-09-30 16:00:41.334810, 40,
Cancel, 2017-09-30 16:00:36.280525, 27,
Cancel, 2017-09-30 16:00:31.307208, 47,
Cancel, 2017-09-30 16:00:26.462057, 36,
Cancel, 2017-09-30 16:00:21.297368, 31,
Cancel, 2017-09-30 16:00:16.389452, 35,
Cancel, 2017-09-30 16:00:11.314523, 31,
Cancel, 2017-09-30 16:00:06.343020, 28,
Cancel, 2017-09-30 16:00:01.334727, 23,
Cancel, 2017-09-30 15:59:56.286894, 26,
Cancel, 2017-09-30 15:59:51.397052, 28,
Cancel, 2017-09-30 15:59:46.261507, 26,
Cancel, 2017-09-30 15:59:41.353857, 38,
Cancel, 2017-09-30 15:59:36.414174, 31,
Cancel, 2017-09-30 15:59:31.295867, 22,
Cancel, 2017-09-30 15:59:26.436611, 28,
Cancel, 2017-09-30 15:59:21.342994, 34,
Cancel, 2017-09-30 15:59:16.616921, 38,
Cancel, 2017-09-30 15:59:11.431827, 31,
Cancel, 2017-09-30 15:59:06.420711, 22,
Cancel, 2017-09-30 15:59:01.361390, 38,
Cancel, 2017-09-30 15:58:56.357506, 41,
Cancel, 2017-09-30 15:58:51.347301, 22,
Cancel, 2017-09-30 15:58:46.377464, 47,
Cancel, 2017-09-30 15:58:41.462756, 30,
Cancel, 2017-09-30 15:58:36.311700, 25,
Cancel, 2017-09-30 15:58:31.338196, 32,
Cancel, 2017-09-30 15:58:26.336924, 24,
Cancel, 2017-09-30 15:58:21.248441, 21,
Cancel, 2017-09-30 15:58:16.481183, 24,
Cancel, 2017-09-30 15:58:11.339764, 32,
Cancel, 2017-09-30 15:58:06.375866, 32,
Cancel, 2017-09-30 15:58:01.452985, 27,
Cancel, 2017-09-30 15:57:56.456270, 27,
Cancel, 2017-09-30 15:57:51.458282, 29,
Cancel, 2017-09-30 15:57:46.438944, 26,
Cancel, 2017-09-30 15:57:41.443805, 29,
Cancel, 2017-09-30 15:57:36.350125, 32,
Cancel, 2017-09-30 15:57:31.393601, 34,
Cancel, 2017-09-30 15:57:26.361878, 23,
Cancel, 2017-09-30 15:57:21.457013, 32,
Cancel, 2017-09-30 15:57:16.478764, 27,
Cancel, 2017-09-30 15:57:11.502128, 31,
Cancel, 2017-09-30 15:57:06.383329, 38,
Cancel, 2017-09-30 15:57:01.503879, 34,
Cancel, 2017-09-30 15:56:56.558667, 41,
Cancel, 2017-09-30 15:56:51.497348, 36,
Cancel, 2017-09-30 15:56:46.549013, 25,
Cancel, 2017-09-30 15:56:41.783912, 36,
Cancel, 2017-09-30 15:56:36.548971, 34,
Cancel, 2017-09-30 15:56:31.664427, 33,
Cancel, 2017-09-30 15:56:26.574285, 31,
Cancel, 2017-09-30 15:56:21.600814, 24,
Cancel, 2017-09-30 15:56:16.629527, 28,
Cancel, 2017-09-30 15:56:11.852631, 28,
Cancel, 2017-09-30 15:56:06.525775, 26,
Cancel, 2017-09-30 15:56:02.533649, 20,
Cancel, 2017-09-30 15:55:58.706858, 20,
Cancel, 2017-09-30 15:55:56.731939, 29,
Cancel, 2017-09-30 15:55:54.265212, 12,
