action,time,count,
Upgrade, 2017-09-30 16:02:11.360678, 142,
Upgrade, 2017-09-30 16:02:06.390157, 110,
Upgrade, 2017-09-30 16:02:01.426425, 152,
Upgrade, 2017-09-30 16:01:56.188998, 57,
Upgrade, 2017-09-30 16:01:51.356360, 105,
Upgrade, 2017-09-30 16:01:46.348716, 82,
Upgrade, 2017-09-30 16:01:41.318549, 123,
Upgrade, 2017-09-30 16:01:36.297169, 130,
Upgrade, 2017-09-30 16:01:31.286153, 125,
Upgrade, 2017-09-30 16:01:26.255542, 110,
Upgrade, 2017-09-30 16:01:21.272222, 138,
Upgrade, 2017-09-30 16:01:16.328540, 108,
Upgrade, 2017-09-30 16:01:11.334646, 124,
Upgrade, 2017-09-30 16:01:06.336061, 103,
Upgrade, 2017-09-30 16:01:01.299743, 120,
Upgrade, 2017-09-30 16:00:56.332902, 129,
Upgrade, 2017-09-30 16:00:51.400605, 136,
Upgrade, 2017-09-30 16:00:46.262241, 127,
Upgrade, 2017-09-30 16:00:41.342844, 123,
Upgrade, 2017-09-30 16:00:36.285875, 110,
Upgrade, 2017-09-30 16:00:31.313876, 139,
Upgrade, 2017-09-30 16:00:26.467567, 126,
Upgrade, 2017-09-30 16:00:21.302902, 131,
Upgrade, 2017-09-30 16:00:16.394276, 144,
Upgrade, 2017-09-30 16:00:11.319869, 119,
Upgrade, 2017-09-30 16:00:06.348123, 121,
Upgrade, 2017-09-30 16:00:01.339089, 121,
Upgrade, 2017-09-30 15:59:56.291600, 149,
Upgrade, 2017-09-30 15:59:51.401728, 152,
Upgrade, 2017-09-30 15:59:46.267987, 158,
Upgrade, 2017-09-30 15:59:41.359710, 153,
Upgrade, 2017-09-30 15:59:36.419225, 136,
Upgrade, 2017-09-30 15:59:31.300442, 135,
Upgrade, 2017-09-30 15:59:26.445248, 110,
Upgrade, 2017-09-30 15:59:21.349085, 118,
Upgrade, 2017-09-30 15:59:16.622851, 126,
Upgrade, 2017-09-30 15:59:11.437155, 104,
Upgrade, 2017-09-30 15:59:06.425832, 103,
Upgrade, 2017-09-30 15:59:01.366395, 103,
Upgrade, 2017-09-30 15:58:56.362380, 104,
Upgrade, 2017-09-30 15:58:51.353309, 141,
Upgrade, 2017-09-30 15:58:46.382478, 130,
Upgrade, 2017-09-30 15:58:41.467393, 115,
Upgrade, 2017-09-30 15:58:36.317502, 106,
Upgrade, 2017-09-30 15:58:31.342841, 93,
Upgrade, 2017-09-30 15:58:26.341751, 93,
Upgrade, 2017-09-30 15:58:21.253507, 123,
Upgrade, 2017-09-30 15:58:16.488652, 120,
Upgrade, 2017-09-30 15:58:11.346023, 116,
Upgrade, 2017-09-30 15:58:06.384640, 97,
Upgrade, 2017-09-30 15:58:01.462962, 109,
Upgrade, 2017-09-30 15:57:56.471247, 111,
Upgrade, 2017-09-30 15:57:51.463903, 138,
Upgrade, 2017-09-30 15:57:46.443931, 127,
Upgrade, 2017-09-30 15:57:41.450085, 128,
Upgrade, 2017-09-30 15:57:36.356349, 108,
Upgrade, 2017-09-30 15:57:31.398732, 107,
Upgrade, 2017-09-30 15:57:26.366716, 117,
Upgrade, 2017-09-30 15:57:21.464958, 138,
Upgrade, 2017-09-30 15:57:16.485813, 101,
Upgrade, 2017-09-30 15:57:11.507726, 94,
Upgrade, 2017-09-30 15:57:06.389909, 129,
Upgrade, 2017-09-30 15:57:01.515883, 131,
Upgrade, 2017-09-30 15:56:56.564596, 123,
Upgrade, 2017-09-30 15:56:51.503540, 118,
Upgrade, 2017-09-30 15:56:46.553526, 130,
Upgrade, 2017-09-30 15:56:41.799876, 143,
Upgrade, 2017-09-30 15:56:36.554676, 115,
Upgrade, 2017-09-30 15:56:31.669219, 126,
Upgrade, 2017-09-30 15:56:26.579478, 125,
Upgrade, 2017-09-30 15:56:21.606732, 129,
Upgrade, 2017-09-30 15:56:16.634654, 115,
Upgrade, 2017-09-30 15:56:11.858790, 124,
Upgrade, 2017-09-30 15:56:06.530354, 127,
Upgrade, 2017-09-30 15:56:02.539091, 143,
Upgrade, 2017-09-30 15:55:58.711914, 117,
Upgrade, 2017-09-30 15:55:56.738037, 116,
Upgrade, 2017-09-30 15:55:54.269984, 73,
